timestamp,plant_id,old_production_line_id,product_id,batch_id,work_order_id,actual_production_qty,good_qty,scrap_qty,production_speed,machine_status,downtime_minutes,setup_time_minutes,operator_id,inspection_id,dimension_measurement,tolerance_min,tolerance_max,defect_type,defect_category,defect_severity,is_conforming,scrap_flag,rework_required,quality_score,vision_defect_detected,operator_validation,old_plant_id,old_product_id,old_machine_id,machine_id,machine_name,machine_type,factory_id,factory_name,country,production_line_id,production_line_name,product_family,manufacturer,criticality_level,machine_generation,site_maturity_level,equipment_level,sensor_reliability,data_quality_level,maintenance_strategy,machine_availability_profile,oee_profile,unplanned_downtime_profile,quality_drift_profile,energy_efficiency_profile,systems_maturity,part_name
2026-01-01 06:00:00,FR01,L03,P001,BATCH001,WO1003,954.0,918.0,36.0,21.14,stopped,3.0,32.0,OP03,INS0000,10.388,9.5,10.5,no_defect,none,minor,True,False,False,95.0,False,True,FR02,P003,M02,LAS_FR_001,Découpe laser Trumpf,Découpe laser,FR01,Usine Lyon,France,FR_L_FREINS,Ligne disques de frein,Freinage automobile,Trumpf,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres,Disque de frein
2026-01-01 06:05:00,FR01,L01,P001,BATCH003,WO1003,1034.0,960.0,74.0,22.18,stopped,9.0,11.0,OP01,INS0001,9.597,9.5,10.5,no_defect,none,minor,True,False,False,98.0,False,True,FR01,P002,M02,LAS_FR_001,Découpe laser Trumpf,Découpe laser,FR01,Usine Lyon,France,FR_L_FREINS,Ligne disques de frein,Freinage automobile,Trumpf,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres,Disque de frein
2026-01-01 06:10:00,FR01,L02,P002,BATCH002,WO1001,1114.0,1066.0,48.0,20.34,stopped,19.0,14.0,OP03,INS0001,9.985,9.5,10.5,no_defect,none,minor,True,False,False,93.0,False,True,FR01,P002,M01,CNC_FR_001,Centre d'usinage Mazak,CNC,FR01,Usine Lyon,France,FR_L_CARTERS,Ligne carters moteur,Moteur automobile,Mazak,high,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres,Carter moteur
2026-01-01 06:15:00,FR01,L01,P001,BATCH001,WO1003,1049.0,1012.0,37.0,19.55,running,59.0,8.0,OP02,INS0003,9.594,9.5,10.5,no_defect,none,minor,True,False,False,92.0,False,False,FR01,P003,M02,LAS_FR_001,Découpe laser Trumpf,Découpe laser,FR01,Usine Lyon,France,FR_L_FREINS,Ligne disques de frein,Freinage automobile,Trumpf,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres,Disque de frein
2026-01-01 06:20:00,FR01,L02,P002,BATCH003,WO1003,1101.0,1101.0,0.0,27.23,running,55.5,42.0,OP02,INS0004,9.405,9.5,10.5,fissure,dimensionnel,critical,False,True,True,57.0,True,True,FR01,P002,M01,CNC_FR_001,Centre d'usinage Mazak,CNC,FR01,Usine Lyon,France,FR_L_CARTERS,Ligne carters moteur,Moteur automobile,Mazak,high,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres,Carter moteur
2026-01-01 06:25:00,FR01,L03,P002,BATCH002,WO1001,864.0,858.0,6.0,16.76,running,52.0,17.0,OP02,INS0005,9.816,9.5,10.5,no_defect,none,minor,True,False,False,91.0,False,True,FR01,P002,M01,CNC_FR_001,Centre d'usinage Mazak,CNC,FR01,Usine Lyon,France,FR_L_CARTERS,Ligne carters moteur,Moteur automobile,Mazak,high,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres,Carter moteur
2026-01-01 06:30:00,FR01,L02,P004,BATCH002,WO1002,1075.0,1050.0,25.0,25.81,running,34.0,25.0,OP01,INS0006,10.103,9.5,10.5,no_defect,none,minor,True,False,False,98.0,False,True,FR01,P002,M04,QLT_FR_001,Contrôle qualité vision,Contrôle qualité,FR01,Usine Lyon,France,FR_L_QUALITE,Contrôle qualité précision,Turbomachine aéronautique,Keyence,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres,Aube de turbine
2026-01-01 06:35:00,FR01,L03,P003,BATCH001,WO1002,954.0,908.0,46.0,23.61,stopped,47.0,37.0,OP02,INS0007,9.801,9.5,10.5,no_defect,none,minor,True,False,False,99.0,False,True,FR01,P003,M03,FOU_FR_001,Four traitement thermique,Four industriel,FR01,Usine Lyon,France,FR_L_ARBRES,Ligne arbres de transmission,Transmission automobile,SECO/WARWICK,critical,mid_life,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres,Arbre de transmission
2026-01-01 06:40:00,FR01,L01,P001,BATCH002,WO1002,1082.0,1044.0,38.0,24.53,running,9.0,44.0,OP03,INS0008,10.099,9.5,10.5,no_defect,none,minor,True,False,False,91.0,False,True,FR01,P002,M02,LAS_FR_001,Découpe laser Trumpf,Découpe laser,FR01,Usine Lyon,France,FR_L_FREINS,Ligne disques de frein,Freinage automobile,Trumpf,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres,Disque de frein
2026-01-01 06:45:00,FR01,L01,P004,BATCH001,WO1003,1068.0,1050.0,18.0,23.03,running,27.0,35.5,OP02,INS0009,10.027,9.5,10.5,no_defect,none,minor,True,False,False,99.0,False,True,FR02,P002,M04,QLT_FR_001,Contrôle qualité vision,Contrôle qualité,FR01,Usine Lyon,France,FR_L_QUALITE,Contrôle qualité précision,Turbomachine aéronautique,Keyence,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres,Aube de turbine
