timestamp,machine_id,energy_consumption_kwh,compressed_air_usage,cooling_water_usage,power_peak_kw,energy_cost
2026-01-01 06:00:00,M02,42.59,15.34,20.45,67.42,66.11
2026-01-01 06:05:00,M02,36.93,22.46,17.44,47.34,149.26
2026-01-01 06:10:00,M01,45.46,18.56,12.95,66.96,74.84
2026-01-01 06:15:00,M01,40.0,20.97,13.5,56.46,80.98
2026-01-01 06:20:00,M02,26.7,23.3,14.04,66.74,120.31
2026-01-01 06:25:00,M01,27.52,19.585,18.5,58.33,20.44
2026-01-01 06:30:00,M02,34.92,22.1,20.3,60.94,70.54
2026-01-01 06:35:00,M01,41.84,18.2,15.36,56.03,124.41
2026-01-01 06:40:00,M01,33.84,24.47,11.52,50.55,98.73
2026-01-01 06:45:00,M02,28.03,21.635,15.49,55.08,86.815
2026-01-01 06:50:00,M02,32.51,21.17,13.9,65.93,74.9
2026-01-01 06:55:00,M04,28.93,13.38,15.23,84.46,108.55
2026-01-01 07:00:00,M03,42.32,25.5,10.39,70.34,65.01
2026-01-01 07:05:00,M01,35.43,27.6,12.19,61.29,32.06
2026-01-01 07:10:00,M03,42.32,15.61,16.53,69.1,67.3
2026-01-01 07:15:00,M03,40.629999999999995,24.21,16.39,56.16,25.53
2026-01-01 07:20:00,M04,29.05,13.38,13.02,61.33,54.96
2026-01-01 07:25:00,M04,30.62,12.78,14.2,75.74,117.34
2026-01-01 07:30:00,M03,38.94,13.16,17.92,43.22,145.99
2026-01-01 07:35:00,M04,34.865,22.83,21.75,63.449999999999996,120.66
2026-01-01 07:40:00,M04,39.11,20.07,7.21,51.16,138.66
2026-01-01 07:45:00,M04,28.33,27.79,19.27,46.71,131.04
2026-01-01 07:50:00,M01,34.1,17.27,19.12,69.53,23.28
2026-01-01 07:55:00,M02,37.81,21.18,16.41,66.48,593.8885908087076
2026-01-01 08:00:00,M02,37.69,18.1,14.53,59.52,141.37
2026-01-01 08:05:00,M02,40.445,15.02,14.6,69.11,30.45
2026-01-01 08:10:00,M01,44.58,21.56,19.47,39.2,66.17
2026-01-01 08:15:00,M04,32.26,18.6,15.56,66.4,76.58
2026-01-01 08:20:00,M03,29.94,16.84,15.31,61.96,86.99
2026-01-01 08:25:00,M03,23.25,22.49,13.3,74.33,66.26
2026-01-01 08:30:00,M04,35.9,20.04,20.29,52.47,27.36
2026-01-01 08:35:00,M02,43.2,18.79,15.81,59.5,84.55
2026-01-01 08:40:00,M02,35.2,24.86,13.06,63.97,67.73
2026-01-01 08:45:00,M02,34.095,15.25,16.990000000000002,59.96,54.21
2026-01-01 08:50:00,M03,37.55,18.84,17.88,50.63,39.66
2026-01-01 08:55:00,M01,33.5,18.44,12.86,60.73,110.99
2026-01-01 09:00:00,M02,32.99,20.4,20.92,72.32,85.18
2026-01-01 09:05:00,M04,36.14,18.2,14.0,54.5,98.36
2026-01-01 09:10:00,M02,33.15,26.69,16.05,47.62,593.8885908087076
2026-01-01 09:15:00,M03,28.73,20.75,17.98,64.79,89.05
2026-01-01 09:20:00,M01,47.03,19.11,13.23,63.19,60.51
2026-01-01 09:25:00,M03,48.32,21.51,13.06,65.82,28.67
2026-01-01 09:30:00,M04,30.29,16.55,14.21,62.42,77.535
2026-01-01 09:35:00,M02,24.95,24.06,21.89,53.3,126.4
2026-01-01 09:40:00,M01,35.79,19.17,14.55,51.13,24.0
2026-01-01 09:45:00,M04,41.33,16.51,14.42,61.37,138.05
2026-01-01 09:50:00,M02,32.97,14.12,10.48,60.11,129.6
2026-01-01 09:55:00,M01,39.79,17.44,18.74,53.16,99.58
2026-01-01 10:00:00,M01,31.6,15.84,15.24,63.95,92.78
2026-01-01 10:05:00,M01,33.94,10.94,15.37,64.77,147.77
2026-01-01 10:10:00,M03,29.05,17.31,17.36,63.24,108.47
2026-01-01 10:15:00,M04,30.94,18.67,13.84,71.03,56.52
2026-01-01 10:20:00,M04,41.41,33.06,17.86,68.29,46.04
2026-01-01 10:25:00,M01,35.1,31.59,19.06,82.45,40.78
2026-01-01 10:30:00,M03,23.72,17.35,8.99,65.66,86.1
2026-01-01 10:35:00,M02,25.08,20.765,13.58,71.38,37.22
2026-01-01 10:40:00,M02,32.18,27.41,13.075,59.42,139.78
2026-01-01 10:45:00,M03,31.155,22.98,17.71,63.13,40.81
2026-01-01 10:50:00,M04,38.48,15.67,12.58,56.05,101.62
2026-01-01 10:55:00,M03,38.59,18.28,15.83,67.07,80.78
2026-01-01 11:00:00,M01,42.065,20.2,20.1,55.69,77.67
2026-01-01 11:05:00,M02,42.55,21.21,12.57,67.84,63.02
2026-01-01 11:10:00,M03,33.77,19.49,13.16,58.34,140.09
