plant_id,product_id,work_order_id,planned_production_qty,target_cycle_time_sec,shift,Installation_Year,failure_code,failure_severity,repair_time_minutes,technician_id,spare_part_used,maintenance_cost,energy_cost
FR01,P003,WO1001,1164.0,43.0,nuit,2017.0,F003,major,35.0,,sensor,12358.636650536504,109.74
FR02,P003,WO1001,1004.0,46.0,nuit,2017.0,F004,minor,123.0,TECH01,sensor,1711.0,125.41
FR01,P003,WO1003,1070.0,48.0,nuit,2021.0,F002,minor,103.0,TECH03,bearing,1197.0,70.21
FR01,P002,WO1001,1007.0,52.0,,2014.0,F002,minor,44.0,TECH01,pump,1246.0,38.75
FR01,P003,WO1001,1060.0,40.0,apres_midi,2013.0,F004,minor,895.2144729942319,TECH01,bearing,2301.0,22.79
FR02,P001,WO1001,1182.0,47.0,apres_midi,2015.0,F003,critical,64.0,TECH01,bearing,2558.0,95.37
,P003,WO1002,939.0,41.0,nuit,2019.0,,minor,111.0,TECH02,valve,1657.0,
FR01,P001,WO1002,925.0,43.0,matin,2016.0,F004,minor,160.0,TECH02,pump,708.0,73.68
FR01,P003,WO1002,982.0,43.0,nuit,2014.0,F001,major,24.0,TECH03,bearing,1742.0,92.45
FR02,P003,WO1002,1072.0,53.0,nuit,2016.0,F002,,164.0,TECH01,valve,179.0,114.06
FR01,P001,WO1003,1072.0,47.0,apres_midi,2020.0,,minor,90.0,TECH03,pump,1828.0,75.06
FR01,P003,WO1003,1181.0,,nuit,,F003,critical,157.0,TECH01,bearing,2702.0,111.33
FR01,P003,WO1001,969.0,41.0,apres_midi,2021.0,F002,critical,54.0,TECH01,sensor,2380.0,138.76
FR01,P003,WO1003,905.0,46.0,apres_midi,2018.0,F002,major,170.0,TECH01,bearing,2385.0,56.06
FR02,P002,WO1002,1183.0,42.0,nuit,2015.0,F002,critical,163.0,TECH02,sensor,2212.0,110.6
FR01,P001,WO1001,1094.0,48.0,matin,2013.0,F003,major,71.0,TECH02,valve,878.0,59.52
FR02,P003,WO1001,912.0,44.0,,2020.0,F004,critical,174.0,TECH01,bearing,2785.0,28.84
FR02,P001,WO1002,962.0,53.0,apres_midi,,F004,critical,162.0,TECH03,valve,2125.0,30.76
FR02,P001,WO1002,912.0,51.0,apres_midi,2017.0,F003,critical,25.0,TECH03,valve,1702.0,111.31
FR01,P001,WO1002,1148.0,54.0,nuit,2018.0,F004,major,122.0,TECH02,bearing,2370.0,39.41
FR02,P003,WO1003,1104.0,47.0,nuit,2014.0,F001,major,43.0,TECH01,valve,860.0,149.55
FR01,P003,WO1001,1152.0,54.0,apres_midi,2014.0,F001,minor,106.0,TECH02,sensor,,90.67
FR02,P001,WO1002,939.0,44.0,matin,2014.0,,minor,152.0,TECH03,bearing,2926.0,60.62
FR02,P002,WO1001,1064.0,40.0,nuit,2014.0,F004,critical,105.0,TECH03,pump,661.0,98.68
FR02,P001,WO1001,930.0,48.0,matin,2014.0,F001,critical,112.0,TECH02,sensor,12358.636650536504,31.71
FR02,P002,WO1003,916.0,49.0,matin,2018.0,F004,critical,178.0,TECH01,pump,299.0,26.87
FR02,P001,WO1001,1036.0,,nuit,,F002,major,54.0,TECH02,pump,1586.0,89.82
