maintenance_event_id,timestamp,machine_id,Last_Maintenance_Days_Ago,Maintenance_History_Count,Failure_History_Count,maintenance_type,failure_type,failure_code,failure_severity,repair_time_minutes,downtime_minutes,technician_id,spare_part_used,maintenance_cost
MEV0000,2026-01-01 06:00:00,M04,35.0,16.0,1.0,preventive,mechanical,F003,major,160.0,207.0,TECH03,,7834.856088560886
MEV0001,2026-01-01 06:05:00,M02,4.0,12.0,,corrective,mechanical,F001,major,164.0,119.0,TECH01,pump,2443.0
MEV0002,2026-01-01 06:10:00,M03,73.0,28.0,3.0,preventive,mechanical,F001,minor,78.0,80.0,TECH01,bearing,1707.0
MEV0003,2026-01-01 06:15:00,M04,65.0,28.0,4.0,preventive,electrical,F001,minor,151.0,53.0,TECH01,valve,1735.0
MEV0004,2026-01-01 06:20:00,M03,80.0,21.0,,preventive,electrical,,major,77.0,192.0,TECH01,pump,2549.0
MEV0005,2026-01-01 06:25:00,M02,30.0,16.0,7.0,corrective,mechanical,F003,critical,79.0,207.0,TECH01,sensor,877.0
MEV0006,2026-01-01 06:30:00,M02,14.0,12.0,5.0,corrective,,F003,critical,172.0,,TECH01,valve,1551.0
MEV0007,2026-01-01 06:35:00,M03,15.0,6.0,4.0,preventive,mechanical,F004,minor,154.0,67.0,TECH01,sensor,1637.0
MEV0008,2026-01-01 06:40:00,M03,87.0,8.0,13.0,preventive,hydraulic,F002,minor,89.0,119.0,TECH02,bearing,2400.0
MEV0009,2026-01-01 06:45:00,M02,25.0,3.0,10.0,corrective,none,F001,critical,,24.0,TECH02,valve,374.0
MEV0010,2026-01-01 06:50:00,M04,91.0,25.0,11.0,corrective,mechanical,F004,major,62.0,229.0,TECH01,pump,1133.0
MEV0011,2026-01-01 06:55:00,M02,59.0,25.0,11.0,preventive,none,F002,critical,45.0,214.0,TECH03,valve,2025.0
MEV0012,2026-01-01 07:00:00,M02,25.0,16.0,5.0,preventive,mechanical,F002,critical,75.0,109.0,TECH03,sensor,2924.0
MEV0013,2026-01-01 07:05:00,M01,29.0,17.0,2.0,corrective,mechanical,F004,minor,,231.0,TECH02,bearing,1418.0
,2026-01-01 07:10:00,M02,,0.0,12.0,preventive,hydraulic,F002,minor,131.0,50.0,TECH02,valve,334.0
MEV0015,2026-01-01 07:15:00,M02,34.0,21.0,4.0,preventive,,,major,69.0,24.0,TECH02,valve,1198.0
MEV0016,2026-01-01 07:20:00,M02,74.0,11.0,49.32201613748297,preventive,mechanical,,critical,90.0,22.0,,sensor,224.0
MEV0017,2026-01-01 07:25:00,M03,61.0,25.0,1.0,corrective,electrical,F002,critical,,232.0,TECH02,bearing,1377.0
MEV0018,2026-01-01 07:30:00,M04,101.0,11.0,1.0,preventive,hydraulic,F002,minor,79.0,97.0,TECH02,pump,
MEV0019,2026-01-01 07:35:00,M01,85.0,5.0,10.0,corrective,,F004,minor,121.0,9.0,TECH01,sensor,1489.0
MEV0020,2026-01-01 07:40:00,M02,74.0,26.0,8.0,preventive,electrical,F002,critical,75.0,66.0,TECH01,bearing,2588.0
MEV0021,2026-01-01 07:45:00,,48.0,22.0,2.0,preventive,mechanical,F002,minor,30.0,231.0,TECH03,bearing,1146.0
MEV0022,2026-01-01 07:50:00,M01,50.0,12.0,7.0,corrective,hydraulic,F004,minor,20.0,212.0,TECH01,valve,1131.0
MEV0023,2026-01-01 07:55:00,M04,56.0,0.0,11.0,preventive,none,F004,major,103.0,160.0,TECH03,valve,1164.0
MEV0024,2026-01-01 08:00:00,M01,,6.0,1.0,corrective,mechanical,F004,minor,46.0,99.0,TECH02,pump,1214.0
MEV0025,,M04,6.0,28.0,11.0,preventive,mechanical,F004,critical,,161.0,TECH02,pump,1655.0
MEV0026,2026-01-01 08:10:00,M01,102.0,19.0,1.0,preventive,hydraulic,F003,critical,179.0,24.0,TECH02,sensor,2284.0
MEV0027,2026-01-01 08:15:00,M03,50.0,23.0,10.0,corrective,,F001,minor,65.0,47.0,TECH01,pump,2388.0
MEV0028,2026-01-01 08:20:00,M03,,27.0,2.0,preventive,mechanical,F002,critical,,237.0,TECH02,sensor,118.0
MEV0029,2026-01-01 08:25:00,M03,111.0,4.0,2.0,preventive,electrical,F002,major,175.0,191.0,TECH01,bearing,333.0
MEV0030,2026-01-01 08:30:00,,110.0,21.0,12.0,preventive,mechanical,F001,minor,81.0,120.0,TECH03,pump,2164.0
